Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,WS,AllStar,AllNBA
281,Rodions Kurucs\kurucro01,SF,22,HOU,11,0,75,2.4,10.1,0.238,1,7.2,0.133,1.4,2.9,0.5,0.5,1,0.5,1,4.3,5.3,1.9,2.9,1.9,4.3,3.4,6.2,-0.3,0,0
281,Rodions Kurucs\kurucro01,SF,22,MIL,5,0,34,5.3,8.5,0.625,3.2,4.2,0.75,2.1,4.2,0.5,2.1,2.1,1,3.2,6.4,9.5,4.2,3.2,0,4.2,8.5,15.9,0.1,0,0
282,Kyle Kuzma\kuzmaky01,SF,25,LAL,68,32,1954,6.2,13.9,0.443,2.5,7,0.361,3.6,6.9,0.525,1.2,1.8,0.691,2,5.7,7.7,2.3,0.6,0.8,2.1,2.2,16.1,3.3,0,0
283,Anthony Lamb\lamban01,SF,23,HOU,24,3,415,4,10.2,0.39,2,6.2,0.324,2,4.1,0.489,1.6,1.8,0.857,2.3,3.7,6.1,2,0.5,0.4,1.6,2.9,11.5,0.2,0,0
284,Jeremy Lamb\lambje01,SG,28,IND,36,8,765,5.6,13,0.435,2.4,6,0.406,3.2,7,0.459,3.3,3.5,0.947,1.2,5,6.2,2.5,1.6,1.1,1,3.4,17.1,2.1,0,0
285,Romeo Langford\langfro01,SG,21,BOS,18,4,283,2.7,7.5,0.356,0.6,2.3,0.278,2,5.2,0.39,1.1,1.5,0.75,1.5,2.9,4.5,1.7,0.8,0.6,1.3,3.1,7.1,0,0,0
286,Zach LaVine\lavinza01,SG,25,CHI,58,58,2034,10.1,19.9,0.507,3.5,8.4,0.419,6.5,11.4,0.571,4.5,5.3,0.849,0.6,4.5,5.1,5,0.8,0.5,3.6,2.4,28.2,5.9,1,0
287,Jake Layman\laymaja01,SF,26,MIN,45,11,627,5.2,10.6,0.495,1.3,4.5,0.295,3.9,6.1,0.642,1.5,2.1,0.703,0.7,3.1,3.8,1.6,1.7,1.1,1.5,2.5,13.3,0.7,0,0
288,T.J. Leaf\leaftj01,PF,23,POR,7,0,35,5.1,10.3,0.5,0,0,,5.1,10.3,0.5,2.1,2.1,1,0,5.1,5.1,1,2.1,1,2.1,1,12.3,0,0,0
289,Jalen Lecque\lecquja01,PG,20,IND,4,0,12,3,27,0.111,0,3,0,3,24,0.125,9,9,1,6,9,15,6,0,0,0,0,15,-0.1,0,0
290,Damion Lee\leeda03,SG,28,GSW,57,1,1079,4.3,9.1,0.467,2.6,6.5,0.397,1.7,2.7,0.638,1.3,1.5,0.909,0.7,5.3,6,2.4,1.3,0.3,1,3,12.4,2.7,0,0
291,Saben Lee\leesa01,PG,21,DET,48,7,781,4.6,9.7,0.471,0.4,1.1,0.348,4.2,8.6,0.487,2.8,4.1,0.685,0.9,3.5,4.5,8,1.5,0.6,2.5,3.5,12.3,1.5,0,0
292,Alex Len\lenal01,C,27,TOT,64,42,979,6.3,10.2,0.615,0.3,0.9,0.32,6,9.3,0.644,2.7,4.3,0.629,2.9,6.7,9.6,1.8,0.7,2.4,2,4.7,15.6,2.7,0,0
292,Alex Len\lenal01,C,27,TOR,7,2,76,2.4,4.7,0.5,1.4,2.8,0.5,0.9,1.9,0.5,1.4,2.8,0.5,0,5.2,5.2,1.4,0.5,2.8,3.8,4.7,7.6,-0.1,0,0
292,Alex Len\lenal01,C,27,WAS,57,40,903,6.6,10.7,0.619,0.2,0.8,0.263,6.4,9.9,0.647,2.8,4.4,0.636,3.1,6.8,9.9,1.8,0.8,2.3,1.9,4.7,16.2,2.8,0,0
293,Kawhi Leonard\leonaka01,SF,29,LAC,52,52,1773,9.4,18.4,0.512,2.1,5.2,0.398,7.4,13.3,0.557,5.3,6,0.885,1.1,5.7,6.8,5.5,1.6,0.4,2.1,1.7,26.2,8.8,1,1
294,Meyers Leonard\leoname01,C,28,MIA,3,2,29,3.7,8.7,0.429,3.7,8.7,0.429,0,0,,1.2,2.5,0.5,0,8.7,8.7,2.5,0,0,2.5,6.2,12.4,0,0,0
295,Caris LeVert\leverca01,SG,26,TOT,47,39,1486,8.7,19.7,0.441,2,6.3,0.326,6.7,13.5,0.495,3.5,4.4,0.811,0.8,4.4,5.2,5.9,1.6,0.7,2.5,2.5,23,2.4,0,0
295,Caris LeVert\leverca01,SG,26,BRK,12,4,334,9.4,21.6,0.435,2.4,6.8,0.349,7,14.8,0.474,2.8,3.7,0.765,1.1,4.5,5.6,7.8,1.4,0.6,2.8,2.2,23.9,0.6,0,0
295,Caris LeVert\leverca01,SG,26,IND,35,35,1152,8.5,19.2,0.443,1.9,6.1,0.318,6.6,13.1,0.501,3.7,4.6,0.822,0.7,4.3,5.1,5.4,1.7,0.7,2.4,2.7,22.7,1.8,0,0
296,Kira Lewis Jr.\lewiski01,PG,19,NOP,54,0,904,5.2,13.4,0.386,1.6,4.8,0.333,3.6,8.6,0.415,1.7,2,0.843,0.5,2.3,2.8,4.9,1.5,0.4,1.4,3.5,13.7,0.9,0,0
