Player, Salary 
Cameron Johnson\johnsca02,4437000
Ziaire Williams\willizi02,4373160
Maurice Harkless\harklma01,4347600
Bobby Portis\portibo01,8151750
Jarred Vanderbilt\vandeja01,4259259
Kevin Huerter\huertke01,4253357
Devin Vassell\vassede01,4235160
P.J. Washington\washipj01,4215120
Willie Cauley-Stein\caulewi01,4200000
James Bouknight\bouknja01,4154400
Josh Okogie\okogijo01,4087904
Grayson Allen\allengr01,4054695
Tyrese Haliburton\halibty01,4023600
Chandler Hutchison\hutchch01,
Tyler Herro\herroty01,4004280
Terence Davis\daviste02,4000000
George Hill\hillge01,4000000
Dorian Finney-Smith\finnedo01,4000000
Gorgui Dieng\dienggo01,4000000
Aaron Holiday\holidaa01,3980551
Joshua Primo\primojo01,3946800
Jake Layman\laymaja01,3940184
Anfernee Simons\simonan01,3938818
Justise Winslow\winslju01,16902439
Danuel House\houseda01,3894000
Jevon Carter\carteje01,3833333
Kira Lewis Jr.\lewiski01,3822240
Romeo Langford\langfro01,3804360
Bobby Portis\portibo01,8151750
Facundo Campazzo\campafa01,3804150
Landry Shamet\shamela01,3768342
Chris Duarte\duartch01,3749520
Alex Len\lenal01,3731707
Gabriel Deck\deckga01,3670000
Robert Williams\williro04,3661976
Aaron Nesmith\nesmiaa01,3631200
Moses Moody\moodymo01,3562080
Boban Marjanović\marjabo01,3500000
Mike Muscala\muscami01,3500000
Cole Anthony\anthoco01,3449400
Corey Kispert\kispeco01,3383640
Trey Burke\burketr01,3333333
Georges Niang\niangge01,3300000
Chuma Okeke\okekech01,3277080
Isaiah Stewart\stewais01,3277080
Nickeil Alexander-Walker\alexani01,3261480
Alperen Şengün\sengual01,3214680
Nicolas Batum\batumni01,12213507
Jon Leuer\leuerjo01,3169347
Aleksej Pokusevski\pokusal01,3113160
Goga Bitadze\bitadgo01,3098400
Trey Murphy III\murphtr02,3053760
Sterling Brown\brownst02,3000000
Michael Carter-Williams\cartemi01,3000000
Frank Jackson\jacksfr01,3000000
Ryan Arcidiacono\arcidry01,4789256
Josh Green\greenjo02,2957520
Tre Mann\manntr01,2901240
Dewayne Dedmon\dedmode01,5256308
Andrew Nicholson\nichoan01,2844429
Matisse Thybulle\thybuma01,2840160
Saddiq Bey\beysa01,2824320
Kai Jones\joneska01,2770560
Brandon Clarke\clarkbr01,2726880
Precious Achiuwa\achiupr01,2711280
Jalen Johnson\johnsja05,2659560
Patrick Patterson\pattepa01,3378757
E'Twaun Moore\mooreet01,2641691
Udonis Haslem\hasleud01,2641691
Markieff Morris\morrima02,2641691
DeAndre Jordan\jordade01,2641691
Rajon Rondo\rondora01,2641691
Dwight Howard\howardw01,2641691
Wayne Ellington\ellinwa01,2641691
Trevor Ariza\arizatr01,2641691
Carmelo Anthony\anthoca01,2641691
Andre Iguodala\iguodan01,17641691
